Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
Breach & Clear: Deadline,"Role-playing (RPG), Strategy",Action,"Single Player, Multiplayer, Co-operative",Bird view/Isometric,Digital Download,Drive 1,Unplayed,3.67,28.00,2.29,,,,,,,0,N/A,5.50,6.50,6.20,5.75,5.99,,Y,N,N,,,,
Breathedge,"Role-playing (RPG), Simulator, Adventure, Indie","Action, Science Fiction, Survival, Open World",Single Player,First Person,Digital Download,Drive 2,Unplayed,3.00,35.00,9.52,,,,,,,0,7.10,8.20,6.90,7.10,N/A,7.33,,Y,N,N,,,,
Broforce,"Shooter, Platform, Indie, Arcade","Action, Science Fiction, Comedy","Single Player, Multiplayer, Co-operative",Side View,Digital Download,Drive 1,Unplayed,3.42,67.35,0.45,,,,,,,0,8.80,7.20,7.90,8.30,6.46,7.73,,Y,N,N,,,,
Broken Age,"Point-and-click, Puzzle, Adventure, Indie","Fantasy, Comedy, Science Fiction",Single Player,Side View,N/A,N/A,N/A,3.03,14.00,2.20,,,,,,,0,9.20,7.70,7.90,8.10,8.26,8.23,,N,N,N,,,,
Broken Sword - Shadow of the Templar: Reforged,"Point-and-click, Puzzle, Adventure, Indie","Fantasy, Thriller, Historical, Comedy, Kids, Mystery",Single Player,"Third Person, Side View",Playstation Plus,Drive 4,Unplayed,2.67,14.95,7.52,,,,,,,0,7.60,7.80,8.50,8.40,8.08,8.08,0,Y,N,N,,,,
Broken Sword 5 - The Serpent's Curse,"Point-and-click, Puzzle, Role-playing (RPG), Adventure","Fantasy, Historical",Single Player,"Third Person, Side View",N/A,N/A,N/A,3.21,20.83,N/A,,,,,,,0,N/A,7.10,7.40,7.20,7.36,7.26,0,N,N,N,,,,
Brothers: A Tale of Two Sons,"Puzzle, Adventure, Indie","Action, Fantasy, Stealth, Drama","Single Player, Co-operative",Third Person,N/A,N/A,N/A,2.19,5.00,5.00,,,,,,,0,8.20,8.30,7.70,8.60,7.94,8.15,,N,N,Y,,,,
Bud Spencer & Terence Hill - Slaps and Beans,"Fighting, Hack and Slash/Beat 'em up, Adventure, Indie, Arcade",Action,"Single Player, Multiplayer, Co-operative",Side View,Digital Download,Drive 1,Unplayed,2.88,5.62,2.33,,,,,,,0,6.50,7.10,6.80,6.30,N/A,6.68,,Y,N,N,,,,
Bug Fables: The Everlasting Sapling,"Role-playing (RPG), Turn-based Strategy (TBS), Adventure, Indie","Action, Fantasy, Science Fiction",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.20,73.75,0.48,,,,,,,0,8.20,9.00,8.50,7.90,N/A,8.40,0,Y,N,Y,,,,
Bugsnax,"Puzzle, Adventure, Indie","Action, Comedy, Mystery",Single Player,First Person,N/A,N/A,N/A,2.37,15.00,6.62,,,,,,,0,8.00,7.60,7.50,7.50,N/A,7.65,3,N,N,N,Removed from PS+ after download.,,,
Bulb Boy,"Point-and-click, Puzzle, Adventure, Indie",Horror,Single Player,Side View,N/A,N/A,N/A,2.00,5.83,N/A,,,,,,,0,6.50,8.30,7.50,7.50,8.13,7.59,0,N,N,N,,,,
Bulletstorm: Full Clip Edition,"Shooter, Adventure","Action, Science Fiction, Comedy","Single Player, Multiplayer, Co-operative",First Person,Digital Download,Drive 4,Unplayed,2.94,17.50,24.42,,,,,,,0,7.80,7.70,7.50,7.50,7.44,7.59,,Y,N,Y,Removed from PS+ after download.,,,
Bully,Adventure,"Action, Comedy, Sandbox, Open World","Single Player, Multiplayer",Third Person,Digital Download,Drive 1,Unplayed,2.75,30.00,2.61,,,,,,,0,8.90,9.20,N/A,8.70,N/A,8.93,0,Y,Y,N,,,,
Bulwark: Falconeer Chronicles,"Real Time Strategy (RTS), Simulator, Strategy, Indie","Fantasy, Science Fiction, Sandbox, Open World, 4X",Single Player,Bird view/Isometric,N/A,N/A,N/A,2.00,16.47,N/A,,,,,,,0,6.00,8.50,7.40,6.90,N/A,7.20,0,N,N,N,,,,
Burnout Paradise Remastered,"Racing, Adventure","Action, Open World","Single Player, Multiplayer",Third Person,Digital Download,Drive 2,Unplayed,2.95,37.00,7.85,,,,,,,0,7.90,8.40,7.80,8.20,8.19,8.10,,Y,N,Y,,,,
BUTCHER,"Shooter, Platform, Indie, Arcade","Action, Science Fiction",Single Player,Side View,N/A,N/A,N/A,3.82,22.00,N/A,,,,,,,0,7.50,7.20,7.10,7.10,6.93,7.17,,N,N,Y,,,,
Call of Cthulhu,"Role-playing (RPG), Adventure","Action, Horror, Thriller",Single Player,First Person,Playstation Plus,Drive 1,Unplayed,2.22,14.00,14.27,,,,,,,0,8.60,6.50,6.70,6.30,6.45,6.91,,Y,N,Y,,,,
Call of Duty 4: Modern Warfare,"Shooter, Simulator","Action, Stealth, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,2.96,16.50,15.56,,,,,,,0,8.20,8.80,8.10,9.40,9.35,8.77,,N,N,N,,,,
Call of Duty: Advanced Warfare,Shooter,"Action, Science Fiction, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,2.84,18.00,42.50,,,,,,,0,9.10,8.00,8.10,8.10,8.35,8.33,0,N,N,N,,,,
Call of Duty: Black Ops Cold War,Shooter,"Action, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,3.02,15.00,96.00,,,,,,,0,7.00,7.70,7.50,7.60,N/A,7.45,0,N,N,N,,,,
Call of Duty: Black Ops III,"Shooter, Adventure","Action, Science Fiction, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,2.98,85.00,42.00,,,,,,,0,9.20,7.70,7.90,8.10,8.32,8.24,,N,N,N,,,,
Call of Duty: Ghosts,Shooter,"Action, Science Fiction, Thriller, Survival, Stealth, Warfare","Single Player, Multiplayer, Co-operative",First Person,N/A,N/A,N/A,2.76,13.00,33.00,,,,,,,0,8.80,7.40,7.20,7.80,7.83,7.81,0,N,N,N,,,,
Call of Duty: Infinite Warfare,"Shooter, Adventure","Action, Science Fiction, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,2.86,16.00,46.00,,,,,,,0,7.70,7.70,7.50,7.70,7.78,7.68,,N,N,N,,,,
Call of Duty: Modern Warfare II,Shooter,"Action, Warfare","Single Player, Multiplayer, Co-operative, Split Screen","First Person, Third Person",N/A,N/A,N/A,3.50,29.50,65.99,,,,,,1,1,8.00,8.00,7.50,7.50,N/A,7.75,0,N,N,N,,,,
Call of Duty: Modern Warfare III,Shooter,"Action, Stealth, Warfare","Single Player, Multiplayer, Co-operative",First Person,Playstation Plus,Drive 4,Unplayed,3.67,18.50,60.25,,,,,,,0,6.00,6.20,5.80,5.60,N/A,5.90,,Y,Y,N,,,,
Call of Duty: Vanguard,Shooter,"Action, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",Third Person,N/A,N/A,N/A,3.00,134.60,50.00,,,,,,,0,7.00,7.50,7.20,7.30,N/A,7.25,0,N,N,N,,,,
Call of Duty: WWII,Shooter,"Action, Historical, Warfare","Single Player, Multiplayer, Co-operative, Split Screen",First Person,N/A,N/A,N/A,2.99,18.00,99.00,,,,,,,0,8.00,7.50,7.80,7.90,8.10,7.86,0,N,N,N,,,,
Call of Sentinels,"Role-playing (RPG), Adventure, Indie",Action,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,N/A,N/A,,,,,,,0,N/A,N/A,7.00,N/A,N/A,7.00,,N,N,N,,,,
Call of the Sea,"Puzzle, Adventure, Indie","Historical, Mystery",Single Player,First Person,Playstation Plus,Drive 1,Unplayed,2.25,8.00,5.61,,,,,,,0,9.00,7.30,7.70,7.50,N/A,7.88,,Y,N,Y,,,,
Call of the Wild: The Angler,"Simulator, Sport, Adventure","Sandbox, Open World","Single Player, Multiplayer, Co-operative",First Person,N/A,N/A,N/A,3.00,40.00,N/A,,,,,,,0,7.90,6.60,6.30,6.30,N/A,6.78,,N,N,N,,,,
Calvino Noir,"Strategy, Adventure, Indie",Action,Single Player,,N/A,N/A,N/A,3.71,7.27,N/A,,,,,,,0,6.00,7.00,4.90,4.40,4.56,5.37,,N,N,N,,,,
Candleman,"Platform, Puzzle, Role-playing (RPG), Adventure",Action,Single Player,Side View,N/A,N/A,N/A,3.50,10.97,N/A,,,,,,,0,7.00,7.70,7.70,7.80,7.67,7.57,,N,N,N,,,,
Cannibal Abduction,"Puzzle, Adventure, Indie","Action, Horror",Single Player,,N/A,N/A,N/A,2.00,3.00,N/A,,,,,,,0,7.00,N/A,6.80,6.00,N/A,6.60,,N,N,N,,,,
Captain Blood,"Shooter, Hack and Slash/Beat 'em up, Adventure","Action, Historical",Single Player,Third Person,N/A,N/A,N/A,4.00,7.45,N/A,,,,,,,0,4.80,4.80,4.80,5.00,N/A,4.85,,N,N,Y,,,,
Captain Tsubasa: Rise of New Champions,"Role-playing (RPG), Sport, Arcade",Action,"Single Player, Multiplayer, Co-operative","Third Person, Side View",Playstation Plus,Drive 4,Unplayed,3.24,72.13,23.03,,,,,,,0,7.20,7.80,7.20,6.90,N/A,7.28,,Y,N,Y,,,,
Carmageddon: Max Damage,Racing,"Action, Horror","Single Player, Multiplayer",Third Person,N/A,N/A,N/A,3.06,44.85,5.45,,,,,,,0,5.40,5.30,5.20,5.10,5.09,5.22,0,N,N,Y,,,,
Carrion,"Platform, Adventure, Indie","Action, Science Fiction, Horror",Single Player,Side View,Digital Download,Drive 2,Unplayed,2.57,7.00,0.46,,,,,,,0,7.00,7.50,7.60,7.50,N/A,7.40,,Y,N,N,,,,
Casey Powell Lacrosse 16,"Simulator, Sport","Action, Non-fiction","Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 1,Unplayed,2.71,4.00,4.57,,,,,,,0,N/A,6.00,6.50,6.00,6.86,6.34,0,Y,N,N,,,,
Castaway Paradise,"Role-playing (RPG), Simulator, Adventure, Indie","Comedy, Educational",Single Player,Bird view/Isometric,N/A,N/A,N/A,2.67,42.18,N/A,,,,,,,0,5.00,8.00,6.20,6.60,6.60,6.48,,N,N,N,,,,
Castle Crashers Remastered,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie, Arcade","Action, Comedy","Single Player, Multiplayer, Co-operative",Side View,Digital Download,Drive 3,Unplayed,3.24,37.50,0.25,,,,,,1,1,8.10,8.00,7.80,8.30,N/A,8.05,0,Y,N,Y,,,,
Castlevania Advance Collection,"Platform, Role-playing (RPG), Adventure","Action, Horror",Single Player,Side View,Digital Download,Drive 2,Unplayed,3.21,52.30,0.68,,,,,,,0,8.70,8.60,8.30,8.30,N/A,8.48,,Y,N,N,"Contains the following:
• Castlevania: Circle of the Moon
• Castlevania: Harmony of Dissonance
• Castlevania: Aria of Sorrow
• Castlevania: Dracula X",,,
Castlevania Requiem,Platform,"Action, Fantasy",Single Player,Side View,Digital Download,Drive 2,Unplayed,3.34,15.50,1.33,,,,,,1,1,9.50,9.20,7.50,7.40,7.54,8.23,0,Y,N,Y,"Contains the following:
• Castlevania: Symphony of the Night
• Castlevania: Rondo of Blood",,,
Castlevania: Harmony of Despair,"Platform, Adventure","Action, Horror, Historical","Single Player, Multiplayer, Co-operative",,PS+ Stream,Online Stream,Unplayed,3.62,32.13,N/A,,,,,,,0,7.50,6.80,N/A,6.70,6.69,6.92,,Y,N,N,,,,
Castlevania: Lords of Shadow,"Hack and Slash/Beat 'em up, Adventure","Action, Fantasy, Horror",Single Player,Third Person,PS+ Stream,Online Stream,Unplayed,3.29,61.85,N/A,,,,,,,0,7.50,8.30,7.70,8.30,8.29,8.02,,Y,N,N,,,,
Castlevania: Lords of Shadow – Mirror of Fate HD,"Platform, Adventure","Action, Fantasy",Single Player,Side View,PS+ Stream,Online Stream,Unplayed,3.00,23.02,N/A,,,,,,,0,4.70,7.10,7.50,7.20,6.38,6.58,,Y,N,N,,,,
Castlevania: Lords of Shadow 2,"Hack and Slash/Beat 'em up, Adventure","Action, Fantasy, Horror, Open World",Single Player,Third Person,PS+ Stream,Online Stream,Unplayed,3.06,59.85,N/A,,,,,,,0,6.50,6.30,6.10,6.30,6.43,6.33,,Y,N,N,,,,
Cat Quest,"Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Third Person,Playstation Plus,Drive 2,Unplayed,2.26,28.68,0.67,,,,,,,0,7.30,8.30,7.60,7.40,7.00,7.52,,Y,N,Y,,,,
Cat Quest II,"Role-playing (RPG), Adventure, Indie","Action, Fantasy, Kids, Open World","Single Player, Multiplayer, Co-operative","Third Person, Bird view/Isometric",Playstation Plus,Drive 2,Unplayed,2.71,23.38,1.22,,,,,,,0,7.70,7.80,7.70,7.60,8.00,7.76,,Y,N,Y,,,,
Cathedral,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 4,Unplayed,3.25,38.17,0.40,,,,,,,0,8.30,7.00,7.20,7.10,N/A,7.40,,Y,N,N,,,,
Catherine: Full Body,"Platform, Puzzle, Simulator, Strategy, Adventure","Action, Horror, Comedy, Drama, Mystery, Romance","Single Player, Multiplayer","Third Person, Side View",Digital Download,Drive 4,Unplayed,3.40,147.50,13.37,,,,,,,0,8.80,8.50,8.10,8.10,7.86,8.27,0,Y,N,Y,,,,
Caveman Warriors,"Platform, Adventure, Indie, Arcade","Action, Comedy","Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,4.00,10.00,N/A,,,,,,,0,6.50,5.00,5.60,5.20,5.56,5.57,,N,N,Y,,,,
Celeste,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Side View,Playstation Plus,Drive 1,Unplayed,4.18,37.50,1.63,,,,,,1,1,10.00,9.10,9.20,9.20,8.43,9.19,0,Y,N,Y,,,,
Chained Echoes,"Role-playing (RPG), Strategy, Turn-based Strategy (TBS), Adventure, Indie","Action, Fantasy",Single Player,Third Person,N/A,N/A,N/A,3.53,89.30,0.75,,,,,,,0,8.60,9.10,9.00,9.00,N/A,8.93,0,N,N,Y,,,,
Chants of Sennaar,"Point-and-click, Puzzle, Adventure, Indie","Fantasy, Stealth, Mystery",Single Player,Bird view/Isometric,N/A,N/A,N/A,3.50,11.00,1.00,,,,,,,0,8.60,8.00,8.20,8.60,N/A,8.35,,N,N,N,,,,
Chasm,"Platform, Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 4,Unplayed,3.31,44.08,0.94,,,,,,,0,7.00,7.00,7.20,7.20,6.67,7.01,,Y,N,Y,,,,
Chicory: A Colorful Tale,"Puzzle, Role-playing (RPG), Adventure, Indie","Action, Fantasy, Sandbox, Kids","Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,2.70,31.28,N/A,,,,,,,0,9.00,9.20,8.70,9.00,N/A,8.98,,N,N,N,,,,
Child of Light,"Platform, Role-playing (RPG), Adventure",Fantasy,"Single Player, Multiplayer, Co-operative",Side View,Playstation Plus,Drive 2,Unplayed,2.82,15.50,2.29,,,,,,,0,9.30,8.80,8.30,8.20,8.32,8.58,,Y,N,Y,,,,
Children of Morta,"Role-playing (RPG), Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative",Bird view/Isometric,Playstation Plus,Drive 1,Unplayed,3.30,27.50,3.19,,,,,,,0,7.80,8.30,8.30,8.20,7.75,8.07,0,Y,N,Y,,,,
Chocobo’s Mystery Dungeon Every Buddy!,"Role-playing (RPG), Adventure","Action, Fantasy",Single Player,"Third Person, Bird view/Isometric",N/A,N/A,N/A,3.41,131.38,N/A,,,,,,,0,7.60,7.50,7.40,6.90,7.53,7.39,,N,N,Y,,,,
Choo-Choo Charles,"Shooter, Adventure, Indie","Action, Horror, Survival, Open World",Single Player,First Person,N/A,N/A,N/A,2.00,8.63,N/A,,,,,,,0,4.00,7.00,5.70,5.60,N/A,5.58,,N,N,N,,,,
Chorus,"Shooter, Adventure, Indie, Arcade","Action, Science Fiction",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.78,23.00,50.94,,,,,,,0,8.00,7.50,7.40,7.30,N/A,7.55,,Y,N,N,,,,
Chronicles of the Wolf,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Side View,N/A,N/A,N/A,3.00,22.00,N/A,,,,,,,0,8.00,N/A,7.60,7.80,N/A,7.80,,N,N,Y,,,,
Chrono Cross: The Radical Dreamers Edition,"Role-playing (RPG), Adventure",Fantasy,Single Player,"Bird view/Isometric, Text",Digital Download,Drive 3,Unplayed,3.03,64.00,5.06,,,,,,,0,8.40,8.10,N/A,7.40,N/A,7.97,,Y,N,Y,,,,
Chronos: Before the Ashes,"Role-playing (RPG), Adventure, Arcade","Action, Science Fiction, Mystery",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.43,21.12,13.62,,,,,,,0,6.10,6.70,6.80,6.80,N/A,6.60,,Y,N,Y,,,,
Cities: Skylines,"Simulator, Strategy","Business, Sandbox",Single Player,Bird view/Isometric,Playstation Plus,Drive 3,Unplayed,3.43,50.50,13.55,,,,,,,0,8.50,7.60,8.30,8.50,8.05,8.19,,Y,N,N,,,,
Citizen Sleeper,"Role-playing (RPG), Adventure, Indie",Science Fiction,Single Player,Text,Digital Download,Drive 2,Unplayed,2.00,13.00,2.28,,,,,,,0,8.40,8.00,8.40,8.20,N/A,8.25,,Y,N,N,,,,
City of Brass,"Shooter, Adventure, Indie","Action, Fantasy",Single Player,First Person,Digital Download,Drive 2,Unplayed,3.75,16.00,4.25,,,,,,,0,4.00,6.80,6.90,6.60,6.59,6.18,0,Y,N,Y,,,,
Clash: Artifacts of Chaos,"Fighting, Adventure, Indie","Action, Fantasy",Single Player,Third Person,N/A,Drive 1,Removed,3.00,25.80,11.26,,,,,,,0,7.30,6.40,7.10,6.90,N/A,6.93,,N,N,N,Removed from PS+ after download.,,,
Clea 2,"Puzzle, Adventure, Indie","Action, Horror, Survival, Stealth",Single Player,Side View,N/A,N/A,N/A,3.00,9.10,N/A,,,,,,,0,7.10,8.00,7.00,7.10,N/A,7.30,,N,N,N,,,,
CLeM,"Puzzle, Adventure, Indie","Fantasy, Horror, Thriller, Mystery",Single Player,Side View,N/A,N/A,N/A,3.00,4.92,N/A,,,,,,,0,7.00,7.50,7.60,7.90,N/A,7.50,,N,N,N,,,,
Clockwork Aquario,"Platform, Adventure, Arcade","Action, Fantasy, Kids",Single Player,Side View,Digital Download,Drive 4,Unplayed,3.50,4.72,0.49,,,,,,,0,N/A,7.80,7.30,7.00,N/A,7.37,,Y,N,N,,,,
Cloudpunk,"Role-playing (RPG), Simulator, Adventure, Indie","Action, Science Fiction",Single Player,Third Person,Digital Download,Drive 2,Unplayed,1.88,15.00,10.02,,,,,,,0,6.80,7.60,6.90,7.30,N/A,7.15,,Y,N,N,,,,
Cobra Kai: The Karate Kid Saga Continues,"Fighting, Hack and Slash/Beat 'em up, Adventure, Arcade",Action,"Single Player, Co-operative",Side View,Digital Download,Drive 4,Unplayed,3.38,22.33,9.68,,,,,,,0,7.60,N/A,6.30,6.70,N/A,6.87,,Y,N,Y,,,,
Cocoon,"Puzzle, Adventure, Indie",Science Fiction,Single Player,Bird view/Isometric,Playstation Plus,Drive 4,Unplayed,2.88,6.00,4.53,,,,,,,0,9.00,8.90,8.70,8.80,N/A,8.85,,Y,N,N,,,,
Code Vein: Deluxe Edition,"Role-playing (RPG), Adventure","Action, Fantasy","Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 3,Unplayed,3.61,61.50,35.09,,,,,,,0,7.00,7.30,7.50,7.00,7.16,7.19,,Y,N,Y,,,,
Conan Exiles,"Fighting, Role-playing (RPG), Simulator, Strategy, Adventure","Action, Fantasy, Survival, Open World","Single Player, Multiplayer, Co-operative, Massively Multiplayer Online (MMO)","First Person, Third Person",Playstation Plus,Drive 4,Unplayed,3.37,119.00,113.50,,,,,,,0,6.70,7.10,6.80,6.80,6.51,6.78,0,Y,Y,N,,,,
Conception Plus: Maidens of the Twelve Stars,Role-playing (RPG),Fantasy,Single Player,Third Person,N/A,N/A,N/A,3.23,116.02,N/A,,,,,,,0,N/A,7.00,6.80,6.20,6.10,6.53,,N,N,Y,,,,
Concrete Genie,Adventure,"Action, Fantasy",Single Player,"Third Person, Virtual Reality",Playstation Plus,Drive 1,Unplayed,2.14,8.00,16.01,1,,,,,,1,8.00,8.20,7.70,7.50,7.83,7.85,0,Y,N,N,,,,
CONSCRIPT,"Puzzle, Role-playing (RPG), Adventure, Indie","Action, Horror, Survival, Warfare",Single Player,Third Person,Playstation Plus,Drive 4,Unplayed,3.00,35.58,1.87,,,,,,,0,7.80,8.20,7.80,8.00,N/A,7.95,0,Y,N,Y,,,,
Contra Operation Galuga,"Shooter, Platform, Arcade",Action,"Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,3.67,8.00,8.34,,,,,,,0,6.00,7.10,7.20,7.00,N/A,6.83,,N,N,Y,,,,
Contra Rogue Corps,"Shooter, Platform",Action,"Single Player, Multiplayer, Co-operative",,Playstation Plus,Drive 1,Unplayed,3.29,108.17,12.38,,,,,,,0,4.00,4.70,5.10,5.20,N/A,4.75,,Y,N,Y,,,,
Contrast,"Platform, Puzzle, Indie",Fantasy,Single Player,Third Person,N/A,N/A,N/A,2.20,8.07,2.32,,,,,,,0,7.50,5.70,6.00,5.90,5.85,6.19,,N,N,N,,,,
CONV/RGENCE: A League of Legends Story,"Platform, Adventure, Indie",Action,Single Player,,N/A,N/A,N/A,5.00,15.27,N/A,,,,,,,0,6.90,8.70,8.00,8.10,N/A,7.93,,N,N,N,,,,
Corpse Party,"Puzzle, Role-playing (RPG), Adventure, Indie, Visual Novel",Horror,Single Player,Bird view/Isometric,N/A,N/A,N/A,2.57,28.23,N/A,,,,,,,0,N/A,7.70,7.90,8.10,7.30,7.75,0,N,N,N,,,,
Cosmic Star Heroine,"Role-playing (RPG), Adventure, Indie","Fantasy, Science Fiction",Single Player,Bird view/Isometric,Digital Download,Drive 4,Unplayed,2.54,27.63,6.51,,,,,,,0,7.90,7.70,7.80,7.80,7.76,7.79,,Y,N,Y,,,,
Cozy Grove,"Puzzle, Role-playing (RPG), Simulator, Adventure, Indie","Horror, Comedy",Single Player,Bird view/Isometric,N/A,N/A,N/A,2.00,204.12,N/A,,,,,,,0,7.30,7.30,7.40,7.10,N/A,7.28,,N,N,N,,,,
Crash Bandicoot 4: It's About Time,Platform,"Action, Science Fiction, Fantasy, Comedy",Single Player,"Third Person, Side View",N/A,N/A,N/A,4.41,88.00,22.00,,,,,,,0,8.00,8.60,8.50,8.50,N/A,8.40,,N,N,N,,,,
Crash Bandicoot N. Sane Trilogy,"Platform, Adventure","Action, Fantasy, Science Fiction, Historical",Single Player,Third Person,Digital Download,Drive 2,Unplayed,3.90,108.10,7.99,,,,,,1,1,8.50,7.80,8.00,8.00,8.13,8.09,0,Y,N,Y,"Contains the following:
• Crash Bandicoot
• Crash Bandicoot 2: Cortex Strikes Back
• Crash Bandicoot: Warped",,,
Crash Team Racing Nitro-Fueled,Racing,"Action, Fantasy, Science Fiction, Comedy","Single Player, Multiplayer, Split Screen",Third Person,Digital Download,Drive 2,Unplayed,3.58,34.00,14.19,,,,,,,0,8.50,8.40,8.30,8.80,9.18,8.64,,Y,N,N,,,,
Creature in the Well,"Fighting, Puzzle, Hack and Slash/Beat 'em up, Pinball, Adventure, Indie, Arcade","Action, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,3.75,11.72,N/A,,,,,,,0,7.10,7.40,7.60,7.60,7.54,7.45,,N,N,N,,,,
Cris Tales,"Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Side View,Playstation Plus,Drive 3,Unplayed,3.25,65.85,7.34,,,,,,,0,7.00,7.20,7.40,7.40,N/A,7.25,0,Y,N,Y,,,,
Crisis Core: Final Fantasy VII - Reunion,Role-playing (RPG),"Action, Science Fiction",Single Player,Third Person,N/A,N/A,Removed,3.09,73.50,47.00,,,,,,,0,8.00,8.20,7.90,7.80,N/A,7.98,0,N,N,Y,,,,
Croixleur Sigma,"Fighting, Hack and Slash/Beat 'em up, Indie, Arcade",Action,"Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 4,Unplayed,3.21,15.10,2.08,,,,,,,0,5.30,6.60,6.20,5.60,6.42,6.02,,Y,N,Y,,,,
Cross Tails,"Role-playing (RPG), Strategy, Simulator, Adventure","Fantasy, Drama, Warfare",Single Player,,N/A,N/A,N/A,3.75,23.05,N/A,,,,,,,0,N/A,8.00,7.50,7.20,N/A,7.57,,N,N,Y,,,,
Crossing Souls,"Role-playing (RPG), Adventure, Indie, Arcade","Action, Fantasy",Single Player,Bird view/Isometric,Digital Download,Drive 1,Unplayed,2.68,14.13,2.33,,,,,,,0,7.30,7.10,7.40,7.00,7.39,7.24,,Y,N,N,,,,
Crow Country,"Shooter, Puzzle, Adventure, Indie","Action, Horror, Mystery",Single Player,Bird view/Isometric,Playstation Plus,Drive 4,Unplayed,3.33,9.00,1.53,,,,,,,0,8.40,7.90,8.20,8.20,N/A,8.18,,Y,N,N,,,,
Crymachina,"Role-playing (RPG), Adventure","Action, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,4.00,32.67,N/A,,,,,,,0,6.60,6.80,6.90,6.50,N/A,6.70,,N,N,Y,,,,
Crypt Custodian,"Platform, Role-playing (RPG), Adventure, Indie",Action,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,19.77,N/A,,,,,,,0,8.20,8.00,8.40,8.20,N/A,8.20,,N,N,N,,,,
Crypt of the NecroDancer,"Music, Role-playing (RPG), Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,4.44,1075.83,N/A,,,,,,,0,8.80,8.80,8.70,8.70,8.20,8.64,0,N,N,Y,,,,
Cryptmaster,"Puzzle, Role-playing (RPG), Adventure, Indie",Fantasy,Single Player,"First Person, Third Person",N/A,N/A,N/A,3.50,19.38,N/A,,,,,,,0,7.70,8.80,7.60,7.70,N/A,7.95,,N,N,N,,,,
Crysis 2 Remastered,Shooter,"Action, Science Fiction",Single Player,First Person,Digital Download,Drive 1,Unplayed,3.38,26.82,22.22,,,,,,,0,7.50,7.40,7.00,7.20,8.52,7.52,0,Y,N,N,,,,
Crysis 3 Remastered,Shooter,"Action, Science Fiction",Single Player,First Person,Digital Download,Drive 1,Unplayed,3.00,18.53,18.20,,,,,,,0,7.20,7.50,7.40,7.00,7.65,7.35,,Y,N,N,,,,
Crysis Remastered,"Shooter, Adventure","Action, Sandbox, Warfare, Mystery","Single Player, Multiplayer",First Person,Playstation Plus,Drive 1,Unplayed,3.76,12.00,19.77,,,,,,,0,6.90,6.80,6.50,6.60,8.09,6.98,0,Y,N,N,,,,
Cuphead,"Shooter, Platform, Adventure, Indie, Arcade","Action, Fantasy, Comedy","Single Player, Multiplayer, Co-operative","Bird view/Isometric, Side View",N/A,N/A,N/A,4.25,26.00,5.71,,,,,,1,1,8.80,8.70,8.80,8.60,N/A,8.73,0,N,N,Y,,,,
Curse of the Dead Gods,"Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Bird view/Isometric,Digital Download,Drive 2,Unplayed,3.67,87.00,5.34,,,,,,,0,9.00,8.40,8.10,7.60,N/A,8.28,,Y,N,Y,,,,
