Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
Accel World vs. Sword Art Online: Millennium Twilight,"Role-playing (RPG), Adventure",Action,,,N/A,N/A,N/A,2.95,143.53,N/A,,,,,,,0,7.20,5.00,6.60,6.40,6.25,6.29,0,N,N,Y,,,,
Ace Combat 7: Skies Unknown,"Shooter, Simulator, Arcade","Action, Science Fiction, Drama, Warfare","Single Player, Multiplayer","First Person, Third Person, Virtual Reality",Playstation Plus,Drive 4,Unplayed,3.59,66.00,45.98,,,,,,,0,7.00,8.10,8.10,8.00,8.06,7.85,,Y,N,Y,,,,
Achilles: Legends Untold,"Role-playing (RPG), Hack and Slash/Beat 'em up, Indie","Action, Historical, Open World","Single Player, Multiplayer, Co-operative",Bird view/Isometric,N/A,N/A,N/A,3.00,32.50,N/A,,,,,,,0,5.00,5.50,7.00,6.70,N/A,6.05,0,N,N,N,,,,
Actraiser Renaissance,"Platform, Role-playing (RPG), Simulator, Strategy, Hack and Slash/Beat 'em up",Action,Single Player,Side View,N/A,N/A,N/A,3.06,48.27,N/A,,,,,,,0,6.20,6.00,7.30,7.40,N/A,6.73,,N,N,N,,,,
Adam's Venture: Origins,"Puzzle, Adventure, Indie","Action, Stealth, Kids",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.58,10.18,8.91,,,,,,,0,3.90,5.40,5.50,5.30,5.20,5.06,,Y,N,N,,,,
Adventure Time Pirates of the Enchiridion,"Fighting, Role-playing (RPG), Adventure","Action, Kids, Open World",Single Player,,Playstation Plus,Drive 2,Unplayed,2.09,20.70,3.72,,,,,,,0,5.80,5.30,6.10,6.20,6.06,5.89,,Y,N,Y,,,,
Aegis Defenders,"Platform, Role-playing (RPG), Strategy, Adventure, Indie","Action, Fantasy, Science Fiction","Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,4.37,25.67,N/A,,,,,,,0,6.20,8.00,7.60,7.40,7.45,7.33,,N,N,Y,,,,
Aeon Drive,"Platform, Adventure, Indie, Arcade","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,4.00,7.47,N/A,,,,,,,0,N/A,8.60,7.60,7.20,N/A,7.80,,N,N,N,,,,
Aeon Must Die!,"Fighting, Role-playing (RPG), Adventure, Indie",Action,Single Player,Side View,N/A,N/A,N/A,3.00,17.65,N/A,,,,,,,0,9.00,N/A,5.50,6.50,N/A,7.00,0,N,N,N,,,,
AER: Memories of Old,"Puzzle, Adventure, Indie","Action, Fantasy, Open World",Single Player,Third Person,Digital Download,Drive 2,Unplayed,1.92,5.00,1.38,,,,,,,0,6.30,6.80,6.70,6.90,6.69,6.68,,Y,N,N,,,,
Aeterna Noctis,"Platform, Puzzle, Adventure, Indie","Action, Fantasy",Single Player,Side View,N/A,N/A,Unplayed,4.00,73.00,N/A,,,,,,,0,8.20,7.80,7.20,7.20,N/A,7.60,0,N,N,N,,,,
AEW: Fight Forever,"Fighting, Sport, Simulator",Action,"Single Player, Multiplayer, Co-operative, Split Screen","Third Person, Bird view/Isometric",Playstation Plus,Drive 1,Unplayed,3.29,17.00,37.95,,,,,,,0,6.00,6.90,6.50,6.40,N/A,6.45,0,Y,N,N,,,,
AFL Evolution,"Sport, Simulator",Action,"Single Player, Multiplayer, Co-operative",Third Person,Digital Download,Drive 1,Unplayed,3.40,5.50,21.74,,,,,,,0,N/A,N/A,5.30,4.00,N/A,4.65,0,Y,N,N,,,,
Agatha Christie -  Hercule Poirot: The First Cases,"Point-and-click, Puzzle, Adventure",Mystery,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.11,17.78,N/A,,,,,,,0,6.60,7.00,7.80,7.50,N/A,7.23,,N,N,N,,,,
Agatha Christie: Murder on the Orient Express,"Point-and-click, Puzzle, Adventure","Action, Thriller, Historical, Drama, Mystery",Single Player,"Third Person, Auditory",N/A,N/A,N/A,2.00,15.00,21.00,,,,,,,0,7.40,5.70,6.90,6.40,N/A,6.60,,N,N,N,,,,
Agent Intercept,"Shooter, Racing, Arcade","Action, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,3.80,15.20,N/A,,,,,,,0,8.20,7.10,7.40,7.60,N/A,7.58,0,N,N,N,,,,
Agents of Mayhem,"Shooter, Adventure","Action, Science Fiction, Comedy, Open World",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.77,50.00,48.43,,,,,,,0,7.10,7.30,6.70,6.20,6.30,6.72,0,Y,N,Y,,,,
Agony,"Shooter, Adventure, Indie","Action, Horror, Survival",Single Player,First Person,Digital Download,Drive 2,Unplayed,3.26,15.00,20.33,,,,,,,0,3.90,4.00,4.00,4.70,3.89,4.10,,Y,N,N,,,,
Aground,"Role-playing (RPG), Adventure, Indie",Survival,"Single Player, Multiplayer, Co-operative",Side View,Digital Download,Drive 4,Unplayed,3.67,103.77,0.82,,,,,,,0,6.00,6.00,8.20,7.80,N/A,7.00,,Y,N,N,,,,
AI: The Somnium Files,"Puzzle, Adventure, Visual Novel","Action, Science Fiction, Thriller, Mystery",Single Player,"First Person, Third Person",Digital Download,Drive 4,Unplayed,2.64,49.38,14.20,,,,,,,0,8.20,8.60,8.10,8.50,7.75,8.23,,Y,N,N,,,,
Akane,"Hack and Slash/Beat 'em up, Indie, Arcade","Action, Science Fiction",Single Player,Bird view/Isometric,Digital Download,Drive 2,Unplayed,4.50,13.10,0.43,,,,,,,0,6.90,7.00,7.30,6.90,6.90,7.00,,Y,N,N,,,,
Akiba's Beat,Role-playing (RPG),"Action, Fantasy, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,2.44,109.18,N/A,,,,,,,0,7.20,4.60,5.80,5.50,5.71,5.76,0,N,N,Y,,,,
AKIBA'S TRIP: Undead & Undressed,"Role-playing (RPG), Adventure",Action,Single Player,Third Person,N/A,N/A,N/A,2.99,104.93,N/A,,,,,,,0,7.70,6.40,6.10,5.70,5.80,6.34,,N,N,Y,,,,
Alba: A Wildlife Adventure,"Adventure, Indie","Educational, Kids, Open World",Single Player,"First Person, Third Person",N/A,N/A,N/A,2.33,6.62,N/A,,,,,,,0,7.80,8.20,8.20,7.90,N/A,8.03,,N,N,N,,,,
Alien: Isolation,Adventure,"Action, Science Fiction, Horror, Survival, Stealth",Single Player,First Person,Digital Download,Drive 1,Unplayed,3.89,34.00,19.40,1,,,,,,1,5.90,8.60,8.10,7.90,7.96,7.69,0,Y,N,N,,,,
Alienation,Shooter,"Action, Science Fiction, Survival","Single Player, Co-operative",Bird view/Isometric,Playstation Plus,Drive 1,Unplayed,3.37,50.50,3.90,,,,,,,0,8.70,7.30,7.90,7.90,7.92,7.94,0,Y,N,N,,,,
Aliens: Dark Descent,"Strategy, Adventure","Action, Science Fiction",Single Player,Bird view/Isometric,Playstation Plus,Drive 2,Unplayed,4.50,60.00,33.67,,,,,,,0,7.00,8.50,7.50,7.50,N/A,7.63,,Y,N,Y,,,,
Aliens: Fireteam Elite,"Shooter, Role-playing (RPG)","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Third Person,N/A,N/A,N/A,3.52,49.50,12.94,,,,,,,0,7.00,7.40,6.80,6.90,N/A,7.03,,N,N,Y,,,,
Alone in the Dark: The New Nightmare,"Puzzle, Adventure","Action, Horror, Survival, Mystery",Single Player,Third Person,Playstation Plus,Drive 1,Unplayed,3.00,13.00,5.75,,,,,,,0,7.30,8.00,6.40,6.60,N/A,7.08,0,Y,N,N,,,,
Alone with You,"Puzzle, Adventure, Indie","Science Fiction, Mystery",Single Player,"Side View, Text",Digital Download,Drive 4,Unplayed,2.08,19.97,1.39,,,,,,,0,5.50,7.30,7.20,7.20,7.18,6.88,,Y,N,N,,,,
Alphadia III,"Role-playing (RPG), Simulator, Strategy, Adventure",Fantasy,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,N/A,N/A,,,,,,,0,N/A,N/A,N/A,N/A,N/A,#DIV/0!,,N,N,N,,,,
Alwa's Awakening,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 1,Unplayed,3.20,17.88,0.41,,,,,,,0,7.10,7.50,7.20,7.10,7.75,7.33,,Y,N,Y,,,,
Alwa's Legacy,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 1,Unplayed,3.50,17.92,1.32,,,,,,,0,7.60,7.80,7.80,8.00,N/A,7.80,,Y,N,Y,,,,
American Arcadia,"Platform, Puzzle, Adventure, Indie","Action, Comedy, Mystery",Single Player,"First Person, Bird view/Isometric, Side View",N/A,N/A,N/A,2.25,10.45,N/A,,,,,,,0,8.20,8.10,7.90,7.70,N/A,7.98,,N,N,N,,,,
American Fugitive,"Shooter, Racing, Adventure, Indie","Action, Sandbox, Open World",Single Player,,Digital Download,Drive 1,Unplayed,3.00,35.20,2.62,,,,,,,0,6.80,7.30,6.60,6.60,6.39,6.74,,Y,N,Y,,,,
Amnesia: Rebirtth,"Puzzle, Adventure, Indie","Action, Fantasy, Horror, Stealth",Single Player,First Person,Digital Download,Drive 2,Unplayed,3.13,15.00,19.74,,,,,,,0,8.00,8.20,7.80,8.00,N/A,8.00,,Y,N,N,,,,
Amnesia: The Bunker,"Shooter, Puzzle, Adventure, Indie","Action, Horror, Survival, Stealth, Mystery",Single Player,First Person,Digital Download,Drive 2,Unplayed,4.50,14.00,9.49,,,,,,,0,8.00,8.50,7.70,7.70,N/A,7.98,,Y,N,N,,,,
Amnesia: The Collection,"Puzzle, Adventure, Indie","Action, Horror, Survival",Single Player,First Person,Digital Download,Drive 2,Unplayed,3.49,12.00,6.74,,,,,,,0,7.30,7.70,7.70,7.80,7.80,7.66,,Y,N,N,,,,
Among the Sleep,"Puzzle, Adventure, Indie","Action, Horror, Stealth",Single Player,"First Person, Virtual Reality",Digital Download,Drive 4,Unplayed,2.06,7.40,3.95,,,,,,,0,7.30,6.60,6.60,6.60,6.73,6.77,,Y,N,N,,,,
Ancestors: The Humankind Odyssey,"Role-playing (RPG), Adventure, Indie","Action, Survival, Open World",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.85,54.00,8.49,,,,,,,0,7.00,6.50,6.60,6.40,6.45,6.59,0,Y,N,N,,,,
Andro Dunos II,"Shooter, Arcade",Action,Single Player,,Digital Download,Drive 1,Unplayed,3.80,2.55,0.68,,,,,,,0,8.00,7.80,7.70,7.80,N/A,7.83,,Y,N,N,,,,
Anima Gate of Memories: The Nameless Chronicles,"Fighting, Role-playing (RPG), Adventure","Action, Fantasy",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.73,17.43,6.17,,,,,,,0,7.00,6.90,6.80,7.10,N/A,6.95,0,Y,N,Y,,,,
Anima: Gate of Memories,"Role-playing (RPG), Adventure","Action, Fantasy",Single Player,Third Person,Digital Download,Drive 4,Unplayed,3.20,35.68,4.35,,,,,,,0,6.00,6.70,5.60,5.20,4.59,5.62,,Y,N,Y,,,,
ANNO: Mutationem,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy",Single Player,Side View,Playstation Plus,Drive 3,Unplayed,3.44,24.75,11.69,,,,,,,0,8.00,8.50,7.40,7.10,N/A,7.75,,Y,N,Y,,,,
Anodyne,"Platform, Adventure, Indie","Action, Fantasy",Single Player,Third Person,Playstation Plus,Drive 4,Unplayed,3.07,13.55,0.09,,,,,,,0,7.40,7.00,6.90,7.50,7.49,7.26,,Y,N,N,,,,
Anomaly 2,"Strategy, Indie","Action, Science Fiction, Stealth","Single Player, Multiplayer",Bird view/Isometric,Digital Download,Drive 2,Unplayed,3.40,15.83,1.73,,,,,,,0,8.00,7.90,7.40,7.70,7.37,7.67,,Y,N,N,,,,
