Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
The Legend of Zelda: The Wind Waker HD,"Puzzle, Adventure","Action, Fantasy, Kids, Open World",Single Player,Third Person,Legend of Zelda,Completed,2.92,73.42,1.72,9.80,9.10,N/A,9.00,9.11,9.25,0,Y,Physical,Y
The Legend of Zelda: Twilight Princess HD,"Platform, Puzzle, Adventure","Action, Fantasy",Single Player,Third Person,Legend of Zelda,In-Progress,3.00,80.67,5.67,8.60,8.60,8.50,8.60,8.60,8.58,0,Y,Download,Y
The Swindle,"Platform, Role-playing (RPG), Adventure, Indie, Arcade","Action, Stealth",Single Player,,N/A,Unplayed,3.43,26.42,0.66,6.20,7.30,7.00,7.00,7.38,6.98,0,Y,ROM,N
The Wonderful 101,"Strategy, Hack and Slash/Beat 'em up, Adventure","Action, Science Fiction, Comedy","Single Player, Multiplayer, Split Screen",Bird view/Isometric,N/A,Unplayed,3.84,90.78,10.99,7.40,7.40,7.30,7.80,7.80,7.54,0,Y,ROM,N
TNT Racers: Nitro Machines Edition,"Racing, Arcade","Action, Party",,,Sports & Racing,Unplayed,3.68,2.50,0.25,8.00,7.20,N/A,6.20,6.75,7.04,0,Y,ROM,N
Tokyo Mirage Sessions FE,"Music, Role-playing (RPG), Adventure","Action, Fantasy",Single Player,Third Person,N/A,Unplayed,3.03,185.73,14.03,7.60,8.20,8.30,8.00,8.26,8.07,0,Y,ROM,Y
Tom Clancy's Splinter Cell: Blacklist,"Shooter, Tactical, Adventure","Action, Stealth","Single Player, Multiplayer, Co-operative",Third Person,N/A,Unplayed,3.64,48.43,16.94,9.20,7.80,8.00,8.20,7.86,8.21,0,Y,ROM,Y
Transformers : Rise of the Dark Spark,"Shooter, Strategy","Action, Science Fiction","Single Player, Multiplayer, Co-operative",,Transformers,Unplayed,3.94,27.13,7.32,4.90,4.80,4.50,3.80,3.62,4.32,0,Y,ROM,N
Transformers Prime: The Game,Hack and Slash/Beat 'em up,"Action, Science Fiction","Single Player, Multiplayer",Third Person,Transformers,Unplayed,2.95,30.50,2.21,8.00,5.20,N/A,5.60,5.71,6.13,0,Y,ROM,Y
Trine 2: Director's Cut,"Platform, Puzzle, Adventure","Action, Fantasy","Single Player, Multiplayer, Co-operative",Side View,Trine,Unplayed,3.26,44.13,0.18,9.00,8.20,8.70,8.40,8.63,8.59,,Y,ROM,N
Trine Enchanted Edition,"Platform, Puzzle, Role-playing (RPG), Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative",Side View,Trine,Unplayed,2.76,24.40,0.81,7.50,9.20,8.10,8.00,8.07,8.17,,Y,ROM,N
Volgarr the Viking,"Platform, Adventure, Indie","Action, Fantasy, Historical",Single Player,Side View,N/A,Unplayed,4.33,31.63,0.23,8.20,8.00,8.30,7.60,7.67,7.95,0,Y,ROM,N
Volleyball,Sport,Non-fiction,"Single Player, Multiplayer","Third Person, Bird view/Isometric",Sports & Racing,Unplayed,3.48,3.57,0.03,3.00,5.00,N/A,5.26,N/A,4.42,0,Y,ROM,N
Warriors Orochi 3 Hyper,"Fighting, Hack and Slash/Beat 'em up","Action, Fantasy, Warfare","Single Player, Multiplayer, Co-operative",Third Person,N/A,Unplayed,2.98,33.25,15.61,7.00,7.00,N/A,6.40,6.65,6.76,0,Y,ROM,N
Watch Dogs,"Shooter, Adventure","Action, Science Fiction, Stealth, Sandbox, Open World","Single Player, Multiplayer, Co-operative",Third Person,N/A,In-Progress,3.24,177.15,15.31,8.40,8.10,7.90,8.00,6.25,7.73,0,Y,Physical,N
Wii Fit U,"Simulator, Sport",,Single Player,,WiiU Party Games,Unplayed,2.92,120.00,5.59,7.50,6.50,7.50,7.20,7.61,7.26,0,Y,ROM,Y
Wii Party U,"Simulator, Strategy, Arcade, Card & Board Game",Party,"Multiplayer, Co-operative, Split Screen","First Person, Third Person, Bird view/Isometric, Side View",WiiU Party Games,Unplayed,2.61,25.73,6.30,7.50,6.10,N/A,6.50,6.47,6.64,0,Y,ROM,Y
Wii Sports Club,Sport,Party,"Single Player, Multiplayer, Split Screen","First Person, Third Person",WiiU Party Games,Unplayed,2.74,23.08,1.72,8.00,7.00,6.60,6.80,6.87,7.05,0,Y,Download,Y
Wild Guns,"Shooter, Adventure, Arcade","Action, Science Fiction","Single Player, Co-operative, Split Screen",Third Person,N/A,Unplayed,3.83,3.95,0.17,8.00,8.20,7.40,7.40,7.88,7.78,0,Y,ROM,N
World Sports Competition,Sport,Action,Single Player,,Sports & Racing,Unplayed,3.42,N/A,0.21,6.50,N/A,N/A,N/A,N/A,6.50,0,Y,ROM,N
Xenoblade Chronicles,"Role-playing (RPG), Adventure","Action, Fantasy, Science Fiction, Open World",Single Player,Third Person,Xenoblade,Unplayed,3.15,246.20,4.76,9.00,9.10,8.90,8.60,9.17,8.95,,Y,ROM,Y
Xenoblade Chronicles X,"Role-playing (RPG), Adventure","Action, Science Fiction, Sandbox, Open World",Single Player,Third Person,Xenoblade,In-Progress,3.35,811.27,20.45,8.20,8.50,8.40,8.70,8.39,8.44,0,Y,ROM,Y
XType Plus,"Shooter, Adventure, Arcade","Action, Science Fiction",,,N/A,Unplayed,3.63,0.17,0.07,N/A,7.40,N/A,7.60,7.60,7.53,0,Y,ROM,N
Year Walk,Adventure,Fantasy,Single Player,First Person,N/A,Unplayed,3.00,3.82,0.41,8.00,8.00,8.30,8.70,8.14,8.23,0,Y,ROM,N
Yoshi's Island: Super Mario Advance 3,"Platform, Adventure",Action,"Single Player, Multiplayer",Side View,Mario and Luigi,Unplayed,3.21,26.02,0.00,9.40,9.00,N/A,9.10,8.96,9.11,0,Y,Download,Y
Yoshi's Woolly World,Platform,"Action, Fantasy","Single Player, Multiplayer, Co-operative","Third Person, Side View",Mario and Luigi,Unplayed,2.82,48.10,7.57,7.40,7.90,8.00,7.80,7.85,7.79,0,Y,ROM,Y
Zelda II - The Adventure of Link,"Platform, Role-playing (RPG), Adventure","Action, Fantasy, Sandbox",Single Player,Side View,Legend of Zelda,Unplayed,4.17,17.90,0.00,8.50,6.70,N/A,7.30,6.89,7.35,0,Y,Download,Y
ZEN Pinball 2: The Walking Dead,"Simulator, Strategy, Pinball, Arcade",Action,"Single Player, Multiplayer",Bird view/Isometric,Pinball,Unplayed,3.11,1.88,2.48,8.30,7.00,8.60,8.30,8.10,8.06,,Y,ROM,N
Ziggurat,"Shooter, Role-playing (RPG), Indie","Action, Fantasy, Science Fiction",Single Player,First Person,N/A,Unplayed,4.00,48.13,0.41,7.20,8.00,7.80,8.00,7.93,7.79,0,Y,ROM,Y
ZombiU,"Shooter, Adventure","Action, Horror, Survival","Single Player, Multiplayer",First Person,N/A,Unplayed,3.86,28.35,5.65,6.30,7.80,6.70,7.70,7.73,7.25,0,Y,ROM,Y
