Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
Double Dragon II: The Revenge,"Fighting, Hack and Slash/Beat 'em up, Adventure, Arcade",Action,"Single Player, Multiplayer",Side View,Double Dragon,Unplayed,3.70,11.22,0.04,6.80,7.40,N/A,4.00,4.92,5.78,,Y,ROM,N
Double Dragon III: The Sacred Stones,"Fighting, Hack and Slash/Beat 'em up",Action,"Single Player, Multiplayer, Co-operative","Bird view/Isometric, Side View",Double Dragon,Unplayed,4.19,6.58,0.04,6.80,7.20,N/A,6.00,N/A,6.67,,Y,ROM,N
Dr. Luigi,"Puzzle, Strategy",,"Single Player, Multiplayer, Split Screen",Side View,Mario and Luigi,Unplayed,3.12,14.62,0.16,7.50,6.60,6.80,6.50,6.62,6.80,0,Y,ROM,N
Dragon Fantasy: The Black Tome of Ice,"Role-playing (RPG), Adventure",Action,Single Player,,Dragon Fantasy,Unplayed,3.78,20.17,0.46,8.30,5.00,7.70,5.40,6.92,6.66,,Y,ROM,N
Dragon Fantasy: The Volumes of Westeria,Role-playing (RPG),,Single Player,,Dragon Fantasy,Unplayed,3.75,15.33,0.18,7.78,7.00,N/A,6.40,6.50,6.92,,Y,ROM,N
DreamWorks How to Train Your Dragon 2,"Racing, Adventure",,,,N/A,Unplayed,2.36,4.00,1.52,7.50,7.50,N/A,4.70,4.13,5.96,0,Y,ROM,N
DuckTales: Remastered,"Platform, Adventure","Action, Comedy, Kids",Single Player,Side View,Disney,Unplayed,3.07,20.25,0.83,7.00,7.50,7.30,7.00,7.67,7.29,0,Y,ROM,Y
Dungeons & Dragons: Chronicles of Mystara,"Fighting, Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Arcade",Action,"Single Player, Multiplayer, Co-operative",,N/A,Unplayed,3.55,29.62,0.28,8.30,8.10,N/A,7.70,7.77,7.97,0,Y,ROM,N
EarthBound (aka Mother 2),"Role-playing (RPG), Turn-based Strategy (TBS), Adventure","Action, Fantasy, Science Fiction, Drama",Single Player,"First Person, Bird view/Isometric",Earthbound,Unplayed,3.17,59.43,0.00,9.00,9.30,9.60,N/A,8.83,9.18,0,Y,ROM,N
EarthBound Beginnings (aka Mother),"Role-playing (RPG), Adventure","Action, Fantasy, Science Fiction",Single Player,"First Person, Bird view/Isometric",Earthbound,Unplayed,3.80,39.85,0.04,6.50,8.10,8.00,N/A,N/A,7.53,0,Y,ROM,Y
EARTHLOCK: Festival of Magic,"Puzzle, Role-playing (RPG), Strategy, Adventure, Indie","Action, Fantasy",Single Player,Side View,N/A,Unplayed,4.00,51.75,2.27,6.70,6.90,6.70,5.60,6.50,6.48,,Y,ROM,N
ESPN Sports Connection,"Racing, Sport",Party,"Single Player, Multiplayer","First Person, Third Person",Sports & Racing,Unplayed,2.71,1.53,1.69,3.00,4.00,N/A,3.10,2.93,3.26,0,Y,ROM,N
F-Zero,Racing,"Action, Science Fiction",Single Player,Third Person,F-Zero,Unplayed,3.70,10.37,0.28,7.50,8.00,N/A,N/A,8.28,7.93,0,Y,ROM,N
F-Zero X,"Racing, Arcade","Action, Science Fiction","Single Player, Multiplayer, Split Screen",Third Person,F-Zero,Unplayed,3.81,16.15,0.03,9.10,8.20,9.00,8.50,8.76,8.71,0,Y,ROM,Y
F-Zero: GP Legend,Racing,"Action, Science Fiction","Single Player, Multiplayer, Split Screen",Third Person,F-Zero,Unplayed,3.40,15.33,0.01,8.00,8.00,8.00,7.70,7.72,7.88,0,Y,ROM,N
F-Zero: Maximum Velocity,Racing,"Action, Science Fiction","Single Player, Multiplayer, Split Screen",Third Person,F-Zero,Unplayed,3.91,18.00,0.00,9.00,9.00,N/A,8.60,8.34,8.73,0,Y,ROM,N
Falling Skies,"Role-playing (RPG), Strategy, Turn-based Strategy (TBS)","Action, Science Fiction",Single Player,Bird view/Isometric,N/A,Unplayed,1.83,115.02,2.22,7.00,7.50,3.80,3.90,3.52,5.14,,Y,ROM,N
Fast Racing Neo,"Racing, Arcade",Science Fiction,"Single Player, Multiplayer, Split Screen",Third Person,Sports & Racing,Unplayed,4.09,16.78,1.95,8.00,8.30,8.20,8.10,8.17,8.15,0,Y,ROM,N
Fatal Frame: Maiden of Black Water,"Puzzle, Strategy, Adventure","Action, Horror, Survival",Single Player,"First Person, Third Person",N/A,Unplayed,2.93,53.40,8.59,7.00,6.10,6.80,6.70,6.77,6.67,0,Y,ROM,Y
FIFA Soccer 13,"Simulator, Sport",Non-fiction,"Single Player, Multiplayer, Co-operative","Third Person, Bird view/Isometric",Sports & Racing,Unplayed,2.87,557.40,7.31,9.00,8.00,N/A,9.00,7.61,8.40,0,Y,Physical,N
Final Fantasy Tactics Advance,"Role-playing (RPG), Strategy, Turn-based Strategy (TBS), Tactical","Action, Fantasy","Single Player, Multiplayer",Bird view/Isometric,N/A,Unplayed,2.98,357.28,0.01,9.00,9.00,N/A,8.70,8.76,8.87,0,Y,Download,N
Fire Emblem,"Role-playing (RPG), Strategy, Tactical","Fantasy, Historical",Single Player,"Bird view/Isometric, Side View",Fire Emblem,Unplayed,3.61,68.32,0.01,9.50,9.00,N/A,N/A,8.88,9.13,,Y,ROM,Y
Fire Emblem: The Sacred Stones,"Role-playing (RPG), Strategy, Turn-based Strategy (TBS), Tactical",Fantasy,"Single Player, Multiplayer","Third Person, Side View",Fire Emblem,Unplayed,3.04,77.65,0.03,8.50,7.60,N/A,8.50,8.48,8.27,0,Y,ROM,Y
Fist of the North Star: Ken's Rage 2,"Fighting, Hack and Slash/Beat 'em up, Adventure",Action,"Single Player, Multiplayer, Split Screen",,N/A,Unplayed,3.68,78.75,11.82,3.70,5.50,N/A,4.90,4.10,4.55,,Y,ROM,N
Freedom Planet,"Platform, Puzzle, Adventure, Indie","Action, Fantasy, Science Fiction",Single Player,"Side View, Text",N/A,Unplayed,3.65,31.43,0.07,8.20,8.20,8.10,8.20,8.40,8.22,0,Y,ROM,Y
Funky Barn,"Puzzle, Simulator, Strategy","Action, Comedy",Single Player,Bird view/Isometric,N/A,Unplayed,2.17,5.50,0.55,5.00,6.00,N/A,5.00,5.04,5.26,0,Y,ROM,N
Game & Wario,"Shooter, Puzzle, Sport","Action, Comedy, Party","Single Player, Multiplayer","First Person, Third Person",Mario and Luigi,Unplayed,2.74,30.70,4.36,5.10,5.80,N/A,6.10,6.13,5.78,0,Y,ROM,Y
Ghost Blade HD,"Shooter, Indie, Arcade","Action, Science Fiction","Single Player, Multiplayer, Co-operative",,N/A,Unplayed,3.75,10.00,0.77,9.00,7.20,6.60,6.20,6.00,7.00,0,Y,ROM,N
Giana Sisters: Twisted Dreams - Director's Cut,"Platform, Puzzle, Adventure",Action,"Single Player, Multiplayer",Side View,N/A,Unplayed,4.00,17.85,3.79,5.60,7.00,7.00,8.00,7.54,7.03,0,Y,ROM,Y
Golden Sun,"Role-playing (RPG), Adventure",Fantasy,"Single Player, Multiplayer","Third Person, Bird view/Isometric",Golden Sun,Unplayed,3.00,73.33,0.01,9.70,9.00,N/A,9.10,8.91,9.18,0,Y,Download,Y
Golden Sun: The Lost Age,"Role-playing (RPG), Adventure","Action, Fantasy, Open World","Single Player, Multiplayer","Third Person, Bird view/Isometric",Golden Sun,Unplayed,3.06,66.00,0.10,9.00,8.00,N/A,8.60,8.72,8.58,,Y,ROM,N
Guacamelee! Super Turbo Championship Edition,"Fighting, Platform, Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy, Comedy","Single Player, Multiplayer, Co-operative",Side View,N/A,Unplayed,3.23,41.93,0.82,7.90,8.60,8.90,8.70,8.89,8.60,0,Y,ROM,N
Harvest Moon,"Role-playing (RPG), Strategy, Simulator, Adventure",Sandbox,Single Player,Bird view/Isometric,Harvest Moon,Unplayed,2.76,76.62,0.00,8.50,8.00,N/A,8.00,7.25,7.94,0,Y,ROM,Y
Harvest Moon 64,"Role-playing (RPG), Simulator",Sandbox,Single Player,Bird view/Isometric,Harvest Moon,Unplayed,2.81,137.50,0.06,8.20,9.00,N/A,7.80,8.44,8.36,,Y,ROM,N
Harvest Moon: Friends of Mineral Town,"Role-playing (RPG), Simulator",Sandbox,Single Player,Bird view/Isometric,Harvest Moon,Unplayed,2.84,98.55,0.07,8.90,8.80,7.70,8.10,8.20,8.34,,Y,ROM,N
Harvest Moon: More Friends of Mineral Town,"Role-playing (RPG), Simulator",Sandbox,Single Player,Bird view/Isometric,Harvest Moon,Unplayed,2.78,721.80,0.07,8.50,7.70,N/A,8.20,7.94,8.08,,Y,ROM,N
How to Survive,"Role-playing (RPG), Tactical, Adventure, Arcade","Action, Horror, Survival","Single Player, Multiplayer, Co-operative","Third Person, Bird view/Isometric",N/A,Unplayed,3.52,65.33,1.63,5.40,8.70,6.70,6.00,5.80,6.52,,Y,ROM,N
Human Resource Machine,"Puzzle, Simulator, Strategy, Indie","Comedy, Educational",Single Player,Bird view/Isometric,N/A,Unplayed,4.36,29.88,0.11,7.30,7.40,7.10,7.80,7.50,7.42,0,Y,ROM,N
Hyrule Warriors: Definitive Edition,"Hack and Slash/Beat 'em up, Adventure","Action, Fantasy","Single Player, Multiplayer, Co-operative, Split Screen",Third Person,N/A,Unplayed,3.15,630.48,8.25,7.00,7.50,7.80,7.80,7.89,7.60,0,Y,Download,Y
Ice Hockey,Sport,Action,"Single Player, Multiplayer",Auditory,Sports & Racing,Unplayed,2.86,6.18,0.03,7.00,7.10,N/A,N/A,N/A,7.05,0,Y,ROM,Y
Injustice: Gods Among Us,"Fighting, Adventure",Action,"Single Player, Multiplayer",Side View,N/A,Unplayed,3.27,43.42,8.54,8.20,8.00,8.10,8.10,8.33,8.15,0,Y,ROM,Y
Ittle Dew,"Puzzle, Adventure, Indie","Action, Comedy, Kids",Single Player,Bird view/Isometric,N/A,Unplayed,2.97,15.20,0.61,8.00,8.10,7.70,7.90,8.00,7.94,0,Y,ROM,N
Joe's Diner,"Adventure, Indie","Action, Survival",Single Player,,N/A,Unplayed,2.44,4.38,1.04,N/A,5.00,2.10,3.00,N/A,3.37,,Y,ROM,N
Jotun: Valhalla Edition,"Adventure, Indie","Action, Fantasy",Single Player,Bird view/Isometric,N/A,Unplayed,3.87,13.70,1.04,8.00,8.50,7.50,7.90,8.07,7.99,,Y,ROM,Y
Kirby & The Amazing Mirror,"Platform, Adventure","Action, Fantasy, Comedy","Single Player, Multiplayer, Split Screen",Side View,Kirby,Unplayed,2.93,17.07,0.08,8.00,8.40,N/A,8.00,7.75,8.04,,Y,ROM,Y
Kirby 64: The Crystal Shards,"Platform, Adventure",Action,"Single Player, Multiplayer, Split Screen",Side View,Kirby,Unplayed,2.62,15.07,0.07,7.50,7.50,8.00,7.70,7.45,7.63,,Y,ROM,Y
Kirby and the Rainbow Curse,"Platform, Adventure",Action,Single Player,"Third Person, Side View",Kirby,Unplayed,2.91,20.98,4.02,8.00,7.30,7.20,7.30,7.50,7.46,0,Y,ROM,N
Kirby Super Star,"Platform, Adventure",Action,"Single Player, Multiplayer, Split Screen",Side View,Kirby,Unplayed,2.75,10.30,0.04,8.50,8.00,N/A,N/A,8.57,8.36,,Y,ROM,Y
Kirby: Nightmare in Dream Land,"Platform, Adventure",Action,"Single Player, Multiplayer",Side View,Kirby,Unplayed,2.66,14.18,0.08,8.50,7.00,N/A,8.10,7.97,7.89,,Y,ROM,N
Kirby's Adventure,Platform,"Action, Fantasy, Kids",Single Player,Side View,Kirby,Unplayed,2.68,10.65,0.03,9.50,6.00,N/A,7.70,N/A,7.73,,Y,ROM,Y
Kirby's Dream Course,"Puzzle, Sport","Action, Fantasy","Single Player, Multiplayer, Split Screen","Bird view/Isometric, Side View",Kirby,Unplayed,3.35,8.33,0.04,7.50,7.00,N/A,N/A,7.70,7.40,,Y,ROM,N
Kirby's Dream Land 3,"Platform, Adventure",Action,"Single Player, Multiplayer, Co-operative, Split Screen",Side View,Kirby,Unplayed,2.73,9.30,0.04,7.00,8.40,N/A,N/A,6.63,7.34,,Y,ROM,N
Kirby's Epic Yarn,"Platform, Adventure",Action,"Single Player, Multiplayer, Co-operative",Side View,Kirby,Unplayed,2.11,29.75,3.64,9.00,8.50,7.80,8.60,8.85,8.55,,Y,ROM,Y
Kirby's Return to Dream Land,"Platform, Adventure","Action, Comedy","Single Player, Multiplayer, Co-operative, Split Screen",,Kirby,Unplayed,2.74,27.73,1.20,7.50,8.70,8.10,7.70,8.05,8.01,,Y,ROM,Y
KLONOA 2 Dream Champ Tournament,"Platform, Adventure",Action,Single Player,Side View,Klonoa,Unplayed,3.16,12.67,0.00,8.00,7.00,N/A,7.80,7.75,7.64,,Y,ROM,N
KLONOA: Empire of Dreams,"Platform, Puzzle, Adventure",Action,Single Player,Side View,Klonoa,Unplayed,2.91,11.75,0.00,9.00,7.40,N/A,8.30,8.31,8.25,,Y,ROM,N
Knytt Underground,"Platform, Adventure, Indie",Action,Single Player,Side View,N/A,Unplayed,3.24,30.03,0.54,7.60,8.50,7.40,7.60,8.10,7.84,0,Y,ROM,N
Legend of Kay Anniversary,"Platform, Role-playing (RPG), Adventure, Arcade",Action,Single Player,Third Person,N/A,Unplayed,3.42,19.13,3.35,7.00,6.10,5.80,6.70,6.93,6.51,,Y,ROM,Y
Lego Batman 2: DC Super Heroes,"Platform, Hack and Slash/Beat 'em up, Adventure","Action, Comedy, Kids, Open World","Single Player, Multiplayer, Co-operative, Split Screen",Third Person,Batman,Unplayed,2.48,57.02,4.50,5.50,8.10,N/A,7.90,7.90,7.35,0,Y,ROM,Y
Lego Batman 3: Beyond Gotham,"Platform, Puzzle, Adventure","Action, Comedy, Open World","Single Player, Multiplayer, Co-operative, Split Screen",Third Person,Batman,Unplayed,2.25,89.83,7.24,7.40,7.60,7.40,7.40,7.13,7.39,,Y,ROM,N
Little Inferno,"Puzzle, Simulator, Adventure, Indie","Action, Comedy, Sandbox",Single Player,Side View,N/A,Unplayed,2.01,11.58,0.12,5.00,6.50,6.90,7.90,8.18,6.90,0,Y,ROM,N
Live A Live,Role-playing (RPG),"Fantasy, Science Fiction, Historical",Single Player,Bird view/Isometric,N/A,Unplayed,3.12,30.87,0.04,N/A,8.00,8.20,8.10,8.77,8.27,0,Y,ROM,N
Lone Survivor: The Director's Cut,"Puzzle, Adventure","Action, Horror, Survival, Stealth",Single Player,Side View,N/A,Unplayed,3.17,17.78,0.20,8.50,8.10,8.20,8.10,7.63,8.11,,Y,ROM,N
Madden NFL 13,Sport,Non-fiction,"Single Player, Multiplayer",Third Person,Sports & Racing,Unplayed,3.08,159.08,4.73,8.30,7.00,N/A,8.10,7.53,7.73,0,Y,Physical,N
Manhunt 2,Adventure,"Action, Horror, Stealth",Single Player,Third Person,N/A,In-Progress,3.57,19.28,2.98,7.50,6.10,N/A,6.20,6.05,6.46,0,Y,Physical,Y
Mario & Luigi: Superstar Saga,"Role-playing (RPG), Adventure","Action, Fantasy, Comedy",Single Player,Side View,Mario and Luigi,Unplayed,3.04,82.30,0.09,9.00,8.60,N/A,9.00,9.04,8.91,,Y,ROM,Y
Mario & Sonic at the Rio 2016 Olympic Games,Sport,"Action, Party","Single Player, Multiplayer",Third Person,Mario and Luigi,Unplayed,3.17,22.37,2.86,6.90,6.80,N/A,6.00,6.46,6.54,,Y,ROM,Y
Mario & Sonic at the Sochi 2014 Winter Olympic Games,Sport,Action,"Single Player, Multiplayer, Split Screen",Third Person,Mario and Luigi,Unplayed,2.86,20.00,8.43,4.50,5.80,N/A,5.50,5.50,5.32,,Y,ROM,Y
Mario Kart 8,"Racing, Arcade","Action, Fantasy, Kids, Party","Single Player, Multiplayer, Split Screen",Third Person,Mario and Luigi,In-Progress,3.07,122.58,4.11,9.00,9.10,8.80,8.80,8.84,8.91,0,Y,Physical,Y
Mario Tennis: Ultra Smash,Sport,Action,"Single Player, Multiplayer",Third Person,Mario and Luigi,In-Progress,2.70,13.20,2.09,4.80,6.00,5.60,5.80,5.58,5.56,0,Y,Download,Y
Mario vs. Donkey Kong,"Platform, Puzzle",Action,Single Player,Side View,Mario and Luigi,Unplayed,3.19,12.93,0.09,8.50,8.00,7.70,7.60,7.91,7.94,,Y,ROM,N
Mario vs. Donkey Kong Tipping Stars,"Platform, Puzzle",,"Single Player, Multiplayer",Side View,Mario and Luigi,Unplayed,3.26,15.58,0.44,6.80,7.20,7.20,7.00,7.34,7.11,,Y,ROM,N
Metroid,"Platform, Adventure","Action, Science Fiction, Open World",Single Player,Side View,Metroid,Unplayed,4.01,17.17,0.03,8.00,6.00,N/A,5.80,6.15,6.49,,Y,ROM,N
Metroid Fusion,"Shooter, Platform, Puzzle, Adventure","Action, Science Fiction",Single Player,Side View,Metroid,Unplayed,3.29,23.53,0.00,9.50,8.50,9.00,9.20,9.12,9.06,0,Y,Download,N
Metroid Prime Trilogy,"Shooter, Platform, Puzzle, Adventure","Action, Science Fiction","Single Player, Multiplayer",First Person,Metroid,Unplayed,3.24,129.95,7.57,9.50,8.90,N/A,9.10,9.24,9.18,0,Y,ROM,Y
Metroid: Other M,"Shooter, Platform, Adventure","Action, Science Fiction",Single Player,"First Person, Third Person",Metroid,N/A,2.96,17.78,5.85,8.50,7.80,N/A,7.90,7.91,8.03,0,N,N/A,Y
Metroid: Zero Mission,"Shooter, Platform, Adventure","Action, Science Fiction, Open World",Single Player,Side View,Metroid,Unplayed,3.10,20.93,0.00,9.00,9.50,N/A,8.90,9.02,9.10,0,Y,Download,N
Mighty No. 9,"Shooter, Platform, Adventure, Indie","Action, Science Fiction","Single Player, Multiplayer, Co-operative, Split Screen",Side View,N/A,Unplayed,3.83,24.38,3.19,5.60,5.20,5.20,5.20,5.25,5.29,0,Y,ROM,Y
MIghty Switch Force! 2,"Shooter, Platform, Puzzle, Strategy, Adventure","Action, Science Fiction",Single Player,Side View,Mighty Switch,Unplayed,3.50,8.35,0.10,7.30,7.70,N/A,7.30,7.24,7.38,,Y,ROM,N
Mighty Switch Force!: Hyper Drive Edition,"Shooter, Platform, Puzzle, Indie","Action, Science Fiction",Single Player,Side View,Mighty Switch,Unplayed,3.68,14.55,0.35,8.00,8.00,N/A,8.00,8.21,8.05,,Y,ROM,N
Momonga Pinball Adventures,"Pinball, Adventure, Indie, Arcade","Action, Kids",Single Player,,N/A,Unplayed,2.75,14.25,1.34,6.00,6.40,5.60,5.70,5.92,5.92,,Y,ROM,N
Monster Hunter 3 Ultimate,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure","Action, Sandbox","Single Player, Multiplayer",Third Person,N/A,Unplayed,3.82,1274.78,6.05,8.80,8.10,N/A,8.20,8.35,8.36,0,Y,ROM,Y
Mother 3,"Role-playing (RPG), Turn-based Strategy (TBS)","Fantasy, Science Fiction, Comedy",Single Player,"First Person, Bird view/Isometric",Earthbound,Unplayed,3.12,48.80,0.08,N/A,9.00,N/A,N/A,8.35,8.68,0,Y,ROM,Y
Mutant Mudds Deluxe,"Platform, Adventure, Indie, Arcade","Action, Fantasy",Single Player,Side View,Mutant Mudds,Unplayed,3.49,28.08,0.05,8.50,8.60,8.40,8.40,8.43,8.47,,Y,ROM,N
Mutant Mudds Super Challenge,"Platform, Adventure","Action, Science Fiction",Single Player,,Mutant Mudds,Unplayed,4.13,15.25,0.04,7.50,6.80,7.70,8.30,8.44,7.75,0,Y,ROM,N
My Farm,Simulator,,Single Player,,N/A,Unplayed,2.09,N/A,0.26,5.00,N/A,N/A,3.00,N/A,4.00,0,Y,ROM,N
Natsume Championship Wrestling,"Fighting, Sport",,Single Player,,Sports & Racing,Unplayed,3.35,5.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,0,Y,Download,N
NBA 2K13,"Simulator, Sport, Strategy",,"Single Player, Multiplayer, Split Screen",Third Person,Sports & Racing,Unplayed,3.25,965.30,19.68,9.10,7.50,N/A,8.80,8.18,8.39,0,Y,Physical,Y
Need for Speed: Most Wanted U,"Racing, Sport","Action, Open World","Single Player, Multiplayer, Co-operative","First Person, Third Person",Sports & Racing,Unplayed,3.49,57.98,6.08,9.00,8.30,N/A,8.40,8.65,8.59,0,Y,ROM,Y
NES Remix,"Platform, Puzzle, Racing, Sport, Adventure, Arcade",Action,Single Player,"Third Person, Bird view/Isometric, Side View",NES Remix,Unplayed,3.66,30.98,1.14,8.00,6.90,7.10,7.10,6.97,7.21,0,Y,ROM,N
NES Remix 2,"Fighting, Music, Platform, Racing, Sport, Adventure, Arcade","Action, Party",Single Player,"Third Person, Side View",NES Remix,Unplayed,3.14,19.65,0.12,7.70,8.10,7.40,7.30,7.48,7.60,0,Y,ROM,N
Neutopia,"Role-playing (RPG), Adventure",Action,Single Player,Bird view/Isometric,Neutopia,Unplayed,3.12,16.12,0.21,7.50,N/A,N/A,N/A,N/A,7.50,0,Y,Download,N
NEUTOPIA II,"Role-playing (RPG), Adventure","Action, Fantasy",Single Player,Bird view/Isometric,Neutopia,Unplayed,3.12,11.78,0.21,7.50,8.00,N/A,N/A,N/A,7.75,,Y,ROM,N
New Super Mario Bros U + New Super Luigi U,"Platform, Adventure",Action,"Single Player, Multiplayer, Co-operative","Third Person, Side View",Mario and Luigi,In-Progress,3.13,60.17,13.61,8.00,8.40,7.90,8.50,8.02,8.16,0,Y,Physical,Y
Ninja Gaiden,"Platform, Hack and Slash/Beat 'em up, Adventure, Arcade","Action, Fantasy","Single Player, Co-operative",Side View,Ninja Gaiden,Unplayed,4.33,8.55,0.00,9.00,7.90,6.00,9.10,9.25,8.25,,Y,ROM,Y
Ninja Gaiden 3: Razor's Edge,"Hack and Slash/Beat 'em up, Adventure","Action, Stealth","Single Player, Co-operative",Third Person,Ninja Gaiden,Unplayed,4.37,56.33,5.71,7.60,7.00,N/A,6.90,6.95,7.11,0,Y,Physical,N
Ninja Gaiden II: The Dark Sword of Chaos,"Platform, Adventure, Arcade",Action,Single Player,Side View,Ninja Gaiden,Unplayed,4.23,7.28,0.00,8.50,8.00,N/A,8.10,8.13,8.18,,Y,ROM,N
Ninja Gaiden III: The Ancient Ship of Doom,"Platform, Hack and Slash/Beat 'em up, Adventure, Arcade",Action,Single Player,Side View,Ninja Gaiden,Unplayed,4.42,12.25,0.00,8.00,8.20,N/A,5.80,5.50,6.88,,Y,ROM,N
Nintendo Land,"Shooter, Platform, Puzzle, Racing, Adventure, Arcade","Action, Fantasy, Science Fiction, Party","Single Player, Multiplayer, Co-operative, Split Screen","First Person, Bird view/Isometric, Third Person, Side View",WiiU Party Games,Unplayed,2.78,68.02,3.01,8.70,7.50,N/A,7.70,7.80,7.92,0,Y,ROM,Y
Oddworld: Abe's Oddysee - New 'n' Tasty,"Platform, Puzzle, Adventure, Indie","Action, Science Fiction, Stealth, Comedy","Single Player, Co-operative",Side View,N/A,Unplayed,3.61,22.07,4.75,8.50,7.60,8.10,8.40,8.38,8.20,,Y,ROM,N
OlliOlli,"Platform, Racing, Sport, Indie, Arcade",Action,Single Player,Side View,N/A,Unplayed,4.00,17.18,0.47,7.70,7.90,7.60,7.90,8.30,7.88,,Y,ROM,N
One Piece Unlimited World Red,Adventure,Action,"Single Player, Co-operative",Third Person,N/A,Unplayed,2.82,75.25,11.54,7.00,7.40,7.10,7.10,6.64,7.05,,Y,ROM,N
PAC -MAN and the Ghostly Adventures,"Platform, Adventure","Action, Comedy","Single Player, Multiplayer",Third Person,Pac-Man,Unplayed,2.30,10.67,3.56,6.60,5.80,N/A,5.80,6.63,6.21,,Y,ROM,Y
PAC -MAN and the Ghostly Adventures 2,"Platform, Adventure","Action, Science Fiction, Comedy","Single Player, Multiplayer",Third Person,Pac-Man,Unplayed,2.55,16.80,3.96,6.80,5.60,N/A,4.45,4.97,5.45,,Y,ROM,Y
PAC-MAN Collection,"Puzzle, Arcade",Action,Single Player,"Bird view/Isometric, Side View",Pac-Man,Unplayed,3.10,24.00,0.08,9.00,7.80,N/A,7.90,7.82,8.13,0,Y,ROM,N
Paper Mario: Color Splash,"Role-playing (RPG), Adventure",Action,Single Player,Side View,Mario and Luigi,Unplayed,2.77,52.30,9.15,7.30,7.50,7.60,7.60,7.58,7.52,0,Y,ROM,Y
Paper Monsters Recut,"Platform, Adventure, Arcade",Action,Single Player,,N/A,Unplayed,2.13,3.68,0.37,7.30,5.50,6.90,7.40,7.17,6.85,,Y,ROM,N
Phineas and Ferb: Quest for Cool Stuff,Platform,Action,Single Player,,Disney,Unplayed,2.21,5.38,0.59,6.70,N/A,N/A,5.90,N/A,6.30,,Y,ROM,N
Pier Solar and the Great Architects,"Role-playing (RPG), Adventure",,"Single Player, Co-operative",Bird view/Isometric,N/A,Unplayed,3.55,43.63,4.39,7.69,6.00,6.10,6.20,6.10,6.42,,Y,ROM,N
Pikmin,"Real Time Strategy (RTS), Adventure","Action, Science Fiction",Single Player,Bird view/Isometric,Pikmin,Unplayed,3.24,14.05,1.95,8.00,8.00,8.00,8.90,8.67,8.31,,Y,ROM,N
Pikmin 2,"Real Time Strategy (RTS), Adventure","Action, Science Fiction","Single Player, Multiplayer, Co-operative",Bird view/Isometric,Pikmin,Unplayed,3.26,42.83,1.96,9.30,8.70,7.80,9.00,8.94,8.75,,Y,ROM,N
Pikmin 3,"Real Time Strategy (RTS), Adventure","Action, Science Fiction","Single Player, Multiplayer",Bird view/Isometric,Pikmin,Unplayed,3.17,90.08,4.88,8.80,8.60,8.50,8.70,8.66,8.65,0,Y,ROM,Y
Planes: Fire and Rescue,Adventure,Action,Single Player,Third Person,Disney,Unplayed,1.92,4.58,0.30,N/A,N/A,N/A,4.80,N/A,4.80,0,Y,ROM,N
Pokemon Pinball: Ruby & Sapphire,"Pinball, Adventure, Arcade",Action,Single Player,First Person,Pokemon,Unplayed,2.85,119.85,0.07,8.80,7.50,N/A,8.10,8.00,8.10,,Y,ROM,N
Pokemon Rumble U,"Fighting, Role-playing (RPG), Hack and Slash/Beat 'em up",Action,"Single Player, Multiplayer, Co-operative, Split Screen",Bird view/Isometric,Pokemon,Unplayed,2.58,7.05,0.55,6.00,5.10,N/A,4.90,4.88,5.22,0,Y,ROM,N
Pokemon Snap,Simulator,"Action, Fantasy",Single Player,First Person,Pokemon,Unplayed,2.17,17.85,0.06,7.80,7.60,N/A,7.70,7.55,7.66,,Y,ROM,N
PokePark Wii: Pikachu's Adventure,Adventure,"Action, Kids","Single Player, Multiplayer",Third Person,Pokemon,Unplayed,2.10,33.30,1.39,7.50,6.20,N/A,6.20,6.48,6.60,,Y,ROM,Y
Pokken Tournament,"Fighting, Arcade",Action,"Single Player, Multiplayer",Side View,Pokemon,Unplayed,3.13,27.90,4.62,8.00,7.60,7.70,7.60,7.69,7.72,0,Y,ROM,Y
Preston Sterling,"Puzzle, Adventure, Indie",Action,Single Player,,N/A,Unplayed,2.00,1.02,1.01,6.00,5.00,N/A,N/A,N/A,5.50,0,Y,ROM,N
Punch-Out!! Featuring Mr. Dream,"Sport, Arcade",Action,Single Player,Third Person,Sports & Racing,Unplayed,4.00,26.68,0.03,9.00,8.00,7.00,8.60,8.73,8.27,0,Y,ROM,N
Pushmo World,"Platform, Puzzle, Strategy",,Single Player,"Third Person, Side View",N/A,Unplayed,3.21,37.15,0.54,7.50,8.40,8.00,8.00,8.00,7.98,0,Y,ROM,N
Rabbids Land,Puzzle,"Action, Comedy, Party","Single Player, Multiplayer, Split Screen",,N/A,Unplayed,1.95,1.72,7.29,N/A,5.00,N/A,5.20,5.24,5.15,0,Y,ROM,N
Rayman Legends,"Platform, Adventure","Action, Fantasy, Comedy","Single Player, Multiplayer",Side View,N/A,Unplayed,3.15,75.70,6.73,9.50,8.40,9.00,9.20,9.30,9.08,,Y,ROM,Y
